,username,rating,value,boardgame_id,lang,aspect_luck,aspect_luck_label,aspect_luck_score,aspect_luck_mapped,aspect_luck_mapped2,aspect_bookkeeping,aspect_bookkeeping_label,aspect_bookkeeping_score,aspect_bookkeeping_mapped,aspect_bookkeeping_mapped2,aspect_downtime,aspect_downtime_label,aspect_downtime_score,aspect_downtime_mapped,aspect_downtime_mapped2,aspect_interaction,aspect_interaction_label,aspect_interaction_score,aspect_interaction_mapped,aspect_interaction_mapped2,aspect_bash the leader,aspect_bash the leader_label,aspect_bash the leader_score,aspect_bash the leader_mapped,aspect_bash the leader_mapped2,aspect_complicated,aspect_complicated_label,aspect_complicated_score,aspect_complicated_mapped,aspect_complicated_mapped2,aspect_complex,aspect_complex_label,aspect_complex_score,aspect_complex_mapped,aspect_complex_mapped2
25,abirdie,8,"I mean, c'mon. Love a good cutthroat game of Uno.",2223,en,"{'label': 'Neutral', 'score': 0.6660463809967041}",Neutral,0.6660463809967041,0,0.0,"{'label': 'Neutral', 'score': 0.9544603824615479}",Neutral,0.9544603824615479,0,0.0,"{'label': 'Neutral', 'score': 0.7266051173210144}",Neutral,0.7266051173210144,0,0.0,"{'label': 'Neutral', 'score': 0.7685390114784241}",Neutral,0.7685390114784241,0,0.0,"{'label': 'Neutral', 'score': 0.49478334188461304}",Neutral,0.49478334188461304,0,0.0,"{'label': 'Negative', 'score': 0.6925182938575745}",Negative,0.6925182938575745,-1,-0.6925182938575745,"{'label': 'Neutral', 'score': 0.8117548227310181}",Neutral,0.8117548227310181,0,0.0
26,AbraxiS,8,"Excellent family game. Its one of the favorite games of my 4 year old son...in fact,now that i think of it, he wins a lot of times,wich is kind of embarassing to me...oh well  =)",2223,en,"{'label': 'Positive', 'score': 0.8625938892364502}",Positive,0.8625938892364502,1,0.8625938892364502,"{'label': 'Positive', 'score': 0.8463617563247681}",Positive,0.8463617563247681,1,0.8463617563247681,"{'label': 'Positive', 'score': 0.9223459362983704}",Positive,0.9223459362983704,1,0.9223459362983704,"{'label': 'Positive', 'score': 0.9384741187095642}",Positive,0.9384741187095642,1,0.9384741187095642,"{'label': 'Positive', 'score': 0.8385931849479675}",Positive,0.8385931849479675,1,0.8385931849479675,"{'label': 'Positive', 'score': 0.7295976281166077}",Positive,0.7295976281166077,1,0.7295976281166077,"{'label': 'Positive', 'score': 0.8949063420295715}",Positive,0.8949063420295715,1,0.8949063420295715
27,AbyssinianSon,4,I owe a lot to this game as it was a huge part of my childhood. Got it just for old times sake but really doesn't hold up to modern tabletop gaming imo. ,2223,en,"{'label': 'Neutral', 'score': 0.4874049127101898}",Neutral,0.4874049127101898,0,0.0,"{'label': 'Neutral', 'score': 0.7711971998214722}",Neutral,0.7711971998214722,0,0.0,"{'label': 'Neutral', 'score': 0.6182480454444885}",Neutral,0.6182480454444885,0,0.0,"{'label': 'Negative', 'score': 0.8060480356216431}",Negative,0.8060480356216431,-1,-0.8060480356216431,"{'label': 'Negative', 'score': 0.7698253393173218}",Negative,0.7698253393173218,-1,-0.7698253393173218,"{'label': 'Negative', 'score': 0.7681634426116943}",Negative,0.7681634426116943,-1,-0.7681634426116943,"{'label': 'Negative', 'score': 0.8512116074562073}",Negative,0.8512116074562073,-1,-0.8512116074562073
28,Abyss_Raider,7,The classic card game of being the first to play your whole deck. Very easy but very fun.,2223,en,"{'label': 'Positive', 'score': 0.8149494528770447}",Positive,0.8149494528770447,1,0.8149494528770447,"{'label': 'Neutral', 'score': 0.6503992676734924}",Neutral,0.6503992676734924,0,0.0,"{'label': 'Positive', 'score': 0.89324551820755}",Positive,0.89324551820755,1,0.89324551820755,"{'label': 'Positive', 'score': 0.874251663684845}",Positive,0.874251663684845,1,0.874251663684845,"{'label': 'Positive', 'score': 0.8615243434906006}",Positive,0.8615243434906006,1,0.8615243434906006,"{'label': 'Positive', 'score': 0.4868916869163513}",Positive,0.4868916869163513,1,0.4868916869163513,"{'label': 'Positive', 'score': 0.694896936416626}",Positive,0.694896936416626,1,0.694896936416626
30,Accatitippi,4,"Easy to learn. Boring if you don't house rule the weirdest things while playing. That version would get a 6.5, the game itself a 4.",2223,en,"{'label': 'Negative', 'score': 0.47033315896987915}",Negative,0.47033315896987915,-1,-0.47033315896987915,"{'label': 'Neutral', 'score': 0.8672291040420532}",Neutral,0.8672291040420532,0,0.0,"{'label': 'Negative', 'score': 0.5014370679855347}",Negative,0.5014370679855347,-1,-0.5014370679855347,"{'label': 'Negative', 'score': 0.549715518951416}",Negative,0.549715518951416,-1,-0.549715518951416,"{'label': 'Negative', 'score': 0.44894108176231384}",Negative,0.44894108176231384,-1,-0.44894108176231384,"{'label': 'Negative', 'score': 0.9410173892974854}",Negative,0.9410173892974854,-1,-0.9410173892974854,"{'label': 'Negative', 'score': 0.9289590716362}",Negative,0.9289590716362,-1,-0.9289590716362
31,aceraxon,1,"Hey, would you like to smell a turd?   No.   Hey, would you like to play Uno?   Where's that turd at?",2223,en,"{'label': 'Negative', 'score': 0.9511042237281799}",Negative,0.9511042237281799,-1,-0.9511042237281799,"{'label': 'Negative', 'score': 0.9376102685928345}",Negative,0.9376102685928345,-1,-0.9376102685928345,"{'label': 'Negative', 'score': 0.9656732082366943}",Negative,0.9656732082366943,-1,-0.9656732082366943,"{'label': 'Negative', 'score': 0.9736208319664001}",Negative,0.9736208319664001,-1,-0.9736208319664001,"{'label': 'Negative', 'score': 0.9710929989814758}",Negative,0.9710929989814758,-1,-0.9710929989814758,"{'label': 'Negative', 'score': 0.96353679895401}",Negative,0.96353679895401,-1,-0.96353679895401,"{'label': 'Negative', 'score': 0.9686670303344727}",Negative,0.9686670303344727,-1,-0.9686670303344727
32,acolyte,2,"Yet another one of those horrible card games that plays you rather than the other way around.  A mindless way to pass the time, but not really a game.",2223,en,"{'label': 'Negative', 'score': 0.9141414165496826}",Negative,0.9141414165496826,-1,-0.9141414165496826,"{'label': 'Neutral', 'score': 0.7536514401435852}",Neutral,0.7536514401435852,0,0.0,"{'label': 'Neutral', 'score': 0.8980714678764343}",Neutral,0.8980714678764343,0,0.0,"{'label': 'Negative', 'score': 0.7826405763626099}",Negative,0.7826405763626099,-1,-0.7826405763626099,"{'label': 'Negative', 'score': 0.7605742812156677}",Negative,0.7605742812156677,-1,-0.7605742812156677,"{'label': 'Negative', 'score': 0.8956733345985413}",Negative,0.8956733345985413,-1,-0.8956733345985413,"{'label': 'Negative', 'score': 0.8872302174568176}",Negative,0.8872302174568176,-1,-0.8872302174568176
33,acrotide,5,2-10 players (Best: 4-6),2223,en,"{'label': 'Neutral', 'score': 0.6641436219215393}",Neutral,0.6641436219215393,0,0.0,"{'label': 'Neutral', 'score': 0.9127006530761719}",Neutral,0.9127006530761719,0,0.0,"{'label': 'Neutral', 'score': 0.4991622865200043}",Neutral,0.4991622865200043,0,0.0,"{'label': 'Neutral', 'score': 0.8505704402923584}",Neutral,0.8505704402923584,0,0.0,"{'label': 'Neutral', 'score': 0.78770512342453}",Neutral,0.78770512342453,0,0.0,"{'label': 'Negative', 'score': 0.7421181201934814}",Negative,0.7421181201934814,-1,-0.7421181201934814,"{'label': 'Neutral', 'score': 0.9899498224258423}",Neutral,0.9899498224258423,0,0.0
35,adambonneruk,N/A,Purchased: Asda Cost: ~£10 Date ~2016,2223,en,"{'label': 'Neutral', 'score': 0.8846073150634766}",Neutral,0.8846073150634766,0,0.0,"{'label': 'Neutral', 'score': 0.901542067527771}",Neutral,0.901542067527771,0,0.0,"{'label': 'Neutral', 'score': 0.7970213890075684}",Neutral,0.7970213890075684,0,0.0,"{'label': 'Neutral', 'score': 0.8744260668754578}",Neutral,0.8744260668754578,0,0.0,"{'label': 'Neutral', 'score': 0.5026107430458069}",Neutral,0.5026107430458069,0,0.0,"{'label': 'Negative', 'score': 0.9013383984565735}",Negative,0.9013383984565735,-1,-0.9013383984565735,"{'label': 'Neutral', 'score': 0.9200936555862427}",Neutral,0.9200936555862427,0,0.0
36,AdamMcD,5,"Instead of buying Uno for $10, one could play 'Crazy Eights' (practically the same game) with a deck of Standard playing cards.  Harmless, but not fun either.",2223,en,"{'label': 'Negative', 'score': 0.5215215086936951}",Negative,0.5215215086936951,-1,-0.5215215086936951,"{'label': 'Neutral', 'score': 0.837788999080658}",Neutral,0.837788999080658,0,0.0,"{'label': 'Neutral', 'score': 0.49344468116760254}",Neutral,0.49344468116760254,0,0.0,"{'label': 'Negative', 'score': 0.5234533548355103}",Negative,0.5234533548355103,-1,-0.5234533548355103,"{'label': 'Negative', 'score': 0.46518027782440186}",Negative,0.46518027782440186,-1,-0.46518027782440186,"{'label': 'Negative', 'score': 0.7243238091468811}",Negative,0.7243238091468811,-1,-0.7243238091468811,"{'label': 'Negative', 'score': 0.696233332157135}",Negative,0.696233332157135,-1,-0.696233332157135
38,adamphipps11,5,2-10 Players Best: 4-6,2223,en,"{'label': 'Neutral', 'score': 0.7137635350227356}",Neutral,0.7137635350227356,0,0.0,"{'label': 'Neutral', 'score': 0.9437920451164246}",Neutral,0.9437920451164246,0,0.0,"{'label': 'Negative', 'score': 0.5751593708992004}",Negative,0.5751593708992004,-1,-0.5751593708992004,"{'label': 'Positive', 'score': 0.7233395576477051}",Positive,0.7233395576477051,1,0.7233395576477051,"{'label': 'Neutral', 'score': 0.8355156183242798}",Neutral,0.8355156183242798,0,0.0,"{'label': 'Negative', 'score': 0.6508687734603882}",Negative,0.6508687734603882,-1,-0.6508687734603882,"{'label': 'Neutral', 'score': 0.9475486278533936}",Neutral,0.9475486278533936,0,0.0
39,adamscott,2,"Boring, awful game.  I remember playing it as a kid.  Not sure I enjoyed it much then.  I really hope I never have to play this again.",2223,en,"{'label': 'Negative', 'score': 0.93203204870224}",Negative,0.93203204870224,-1,-0.93203204870224,"{'label': 'Negative', 'score': 0.8679268956184387}",Negative,0.8679268956184387,-1,-0.8679268956184387,"{'label': 'Negative', 'score': 0.9019137620925903}",Negative,0.9019137620925903,-1,-0.9019137620925903,"{'label': 'Negative', 'score': 0.9603564739227295}",Negative,0.9603564739227295,-1,-0.9603564739227295,"{'label': 'Negative', 'score': 0.9385510683059692}",Negative,0.9385510683059692,-1,-0.9385510683059692,"{'label': 'Negative', 'score': 0.9435150027275085}",Negative,0.9435150027275085,-1,-0.9435150027275085,"{'label': 'Negative', 'score': 0.947726309299469}",Negative,0.947726309299469,-1,-0.947726309299469
40,adebisi,4,"As a game for relatively young kids UNO is great. It will teach you numbers and some basic tactics (e.g. hit the player who is winning and how to read a players hand). For grownups, UNO offers very little but past time activity. Choices are tactical and you really cannot help it too much if you pick up bad cards.  The biggest problem of the game is that it can go on forever. 10 minutes per round is still ok, but any longer than that will start to feel rather tedious and repetitive.",2223,en,"{'label': 'Positive', 'score': 0.6725652813911438}",Positive,0.6725652813911438,1,0.6725652813911438,"{'label': 'Positive', 'score': 0.6903867125511169}",Positive,0.6903867125511169,1,0.6903867125511169,"{'label': 'Positive', 'score': 0.642737627029419}",Positive,0.642737627029419,1,0.642737627029419,"{'label': 'Positive', 'score': 0.6649138331413269}",Positive,0.6649138331413269,1,0.6649138331413269,"{'label': 'Positive', 'score': 0.6072964072227478}",Positive,0.6072964072227478,1,0.6072964072227478,"{'label': 'Positive', 'score': 0.504413366317749}",Positive,0.504413366317749,1,0.504413366317749,"{'label': 'Positive', 'score': 0.5972940325737}",Positive,0.5972940325737,1,0.5972940325737
41,adel9591,2,Slightly more of a game than phase 10. Rated because I need a baseline for other ratings and I needed a 2 rating.,2223,en,"{'label': 'Neutral', 'score': 0.8865470290184021}",Neutral,0.8865470290184021,0,0.0,"{'label': 'Neutral', 'score': 0.9596179723739624}",Neutral,0.9596179723739624,0,0.0,"{'label': 'Neutral', 'score': 0.8791869282722473}",Neutral,0.8791869282722473,0,0.0,"{'label': 'Neutral', 'score': 0.8574130535125732}",Neutral,0.8574130535125732,0,0.0,"{'label': 'Negative', 'score': 0.6646806001663208}",Negative,0.6646806001663208,-1,-0.6646806001663208,"{'label': 'Negative', 'score': 0.8447725772857666}",Negative,0.8447725772857666,-1,-0.8447725772857666,"{'label': 'Negative', 'score': 0.6000288724899292}",Negative,0.6000288724899292,-1,-0.6000288724899292
42,AdlerCiv,N/A,Sleeved with Arcane Tinmen - Medium - 108 cards,2223,en,"{'label': 'Neutral', 'score': 0.8002380132675171}",Neutral,0.8002380132675171,0,0.0,"{'label': 'Neutral', 'score': 0.9529898166656494}",Neutral,0.9529898166656494,0,0.0,"{'label': 'Neutral', 'score': 0.9454357028007507}",Neutral,0.9454357028007507,0,0.0,"{'label': 'Neutral', 'score': 0.7504384517669678}",Neutral,0.7504384517669678,0,0.0,"{'label': 'Neutral', 'score': 0.8293070197105408}",Neutral,0.8293070197105408,0,0.0,"{'label': 'Neutral', 'score': 0.5757039189338684}",Neutral,0.5757039189338684,0,0.0,"{'label': 'Neutral', 'score': 0.6323385238647461}",Neutral,0.6323385238647461,0,0.0
45,Admiral Fisher,3,"Ah shucks, it's not that great, is it?  But maybe not that bad either.  Still, almost everyone's played it and most relatives will play it for a bit.",2223,en,"{'label': 'Neutral', 'score': 0.6512768864631653}",Neutral,0.6512768864631653,0,0.0,"{'label': 'Neutral', 'score': 0.7877033948898315}",Neutral,0.7877033948898315,0,0.0,"{'label': 'Neutral', 'score': 0.5435434579849243}",Neutral,0.5435434579849243,0,0.0,"{'label': 'Neutral', 'score': 0.5519989728927612}",Neutral,0.5519989728927612,0,0.0,"{'label': 'Neutral', 'score': 0.4793003797531128}",Neutral,0.4793003797531128,0,0.0,"{'label': 'Negative', 'score': 0.576797366142273}",Negative,0.576797366142273,-1,-0.576797366142273,"{'label': 'Neutral', 'score': 0.6791276931762695}",Neutral,0.6791276931762695,0,0.0
47,AdmiralCrunch,N/A,(B&L Own) I have never cared for this game. Easy to screw over other players.,2223,en,"{'label': 'Negative', 'score': 0.9416149258613586}",Negative,0.9416149258613586,-1,-0.9416149258613586,"{'label': 'Negative', 'score': 0.5978261232376099}",Negative,0.5978261232376099,-1,-0.5978261232376099,"{'label': 'Negative', 'score': 0.6314483284950256}",Negative,0.6314483284950256,-1,-0.6314483284950256,"{'label': 'Negative', 'score': 0.9215174317359924}",Negative,0.9215174317359924,-1,-0.9215174317359924,"{'label': 'Negative', 'score': 0.7687985301017761}",Negative,0.7687985301017761,-1,-0.7687985301017761,"{'label': 'Negative', 'score': 0.9639628529548645}",Negative,0.9639628529548645,-1,-0.9639628529548645,"{'label': 'Negative', 'score': 0.9719488024711609}",Negative,0.9719488024711609,-1,-0.9719488024711609
50,adobemoonlight,6.5,"Used to play this as a party game and according to OUR own rules.  Good party game, but not as interested as I was when this first came out.  Too many other REALLY GOOD games out there now! ",2223,en,"{'label': 'Neutral', 'score': 0.54709792137146}",Neutral,0.54709792137146,0,0.0,"{'label': 'Neutral', 'score': 0.7033255696296692}",Neutral,0.7033255696296692,0,0.0,"{'label': 'Positive', 'score': 0.4443390667438507}",Positive,0.4443390667438507,1,0.4443390667438507,"{'label': 'Neutral', 'score': 0.4792318344116211}",Neutral,0.4792318344116211,0,0.0,"{'label': 'Neutral', 'score': 0.4807748794555664}",Neutral,0.4807748794555664,0,0.0,"{'label': 'Negative', 'score': 0.4256593585014343}",Negative,0.4256593585014343,-1,-0.4256593585014343,"{'label': 'Neutral', 'score': 0.46124815940856934}",Neutral,0.46124815940856934,0,0.0
51,adrim,10,Ratings based on my daughter's enjoyment with this game.  Rating 10 -> @ 5 years old - we must play this with her almost every day Rating 10 -> @ 6 years old Rating 9  -> @ 7 years old ,2223,en,"{'label': 'Positive', 'score': 0.8910232782363892}",Positive,0.8910232782363892,1,0.8910232782363892,"{'label': 'Positive', 'score': 0.6560794115066528}",Positive,0.6560794115066528,1,0.6560794115066528,"{'label': 'Positive', 'score': 0.8713262677192688}",Positive,0.8713262677192688,1,0.8713262677192688,"{'label': 'Positive', 'score': 0.8810908794403076}",Positive,0.8810908794403076,1,0.8810908794403076,"{'label': 'Positive', 'score': 0.8746221661567688}",Positive,0.8746221661567688,1,0.8746221661567688,"{'label': 'Positive', 'score': 0.7848871946334839}",Positive,0.7848871946334839,1,0.7848871946334839,"{'label': 'Positive', 'score': 0.8406469225883484}",Positive,0.8406469225883484,1,0.8406469225883484
52,ADuBois877,10,"When we play Uno, we play to COMPETE.  It's a battle game at our house.",2223,en,"{'label': 'Negative', 'score': 0.373760849237442}",Negative,0.373760849237442,-1,-0.373760849237442,"{'label': 'Neutral', 'score': 0.8062201142311096}",Neutral,0.8062201142311096,0,0.0,"{'label': 'Neutral', 'score': 0.43308576941490173}",Neutral,0.43308576941490173,0,0.0,"{'label': 'Neutral', 'score': 0.44519346952438354}",Neutral,0.44519346952438354,0,0.0,"{'label': 'Positive', 'score': 0.3990495800971985}",Positive,0.3990495800971985,1,0.3990495800971985,"{'label': 'Negative', 'score': 0.8615080118179321}",Negative,0.8615080118179321,-1,-0.8615080118179321,"{'label': 'Neutral', 'score': 0.5339916944503784}",Neutral,0.5339916944503784,0,0.0
53,Adwak1,7,"who doesn't own a copy of UNO, great for kids, easy to understand and everyone loves skip, reverse, skip, draw four combo when that one person thinks they are going to go out. a camping, travel bag must",2223,en,"{'label': 'Neutral', 'score': 0.6317402720451355}",Neutral,0.6317402720451355,0,0.0,"{'label': 'Neutral', 'score': 0.824368953704834}",Neutral,0.824368953704834,0,0.0,"{'label': 'Neutral', 'score': 0.6868460774421692}",Neutral,0.6868460774421692,0,0.0,"{'label': 'Neutral', 'score': 0.5066022276878357}",Neutral,0.5066022276878357,0,0.0,"{'label': 'Positive', 'score': 0.5741673707962036}",Positive,0.5741673707962036,1,0.5741673707962036,"{'label': 'Neutral', 'score': 0.632845401763916}",Neutral,0.632845401763916,0,0.0,"{'label': 'Neutral', 'score': 0.7869225740432739}",Neutral,0.7869225740432739,0,0.0
55,aeroguru1978,5,Nice to have a game that you can take camping and not care if it gets destroyed because you can replace it for a couple of bucks.,2223,en,"{'label': 'Positive', 'score': 0.7582795023918152}",Positive,0.7582795023918152,1,0.7582795023918152,"{'label': 'Neutral', 'score': 0.6497880816459656}",Neutral,0.6497880816459656,0,0.0,"{'label': 'Positive', 'score': 0.6062415838241577}",Positive,0.6062415838241577,1,0.6062415838241577,"{'label': 'Positive', 'score': 0.5910530686378479}",Positive,0.5910530686378479,1,0.5910530686378479,"{'label': 'Positive', 'score': 0.34974798560142517}",Positive,0.34974798560142517,1,0.34974798560142517,"{'label': 'Negative', 'score': 0.8833362460136414}",Negative,0.8833362460136414,-1,-0.8833362460136414,"{'label': 'Neutral', 'score': 0.46552935242652893}",Neutral,0.46552935242652893,0,0.0
