,username,rating,value,boardgame_id
55,aeroguru1978,5,Nice to have a game that you can take camping and not care if it gets destroyed because you can replace it for a couple of bucks.,2223
56,Aeromaniac1,N/A,Now with Customizable Wild Cards!,2223
57,Aeromaniac1,N/A,No box,2223
58,Aeromaniac1,N/A,No Box,2223
59,AerynSoonerOrLater,10,"Loved by whole family, mostly for the trash talking❤️ Good Party game ",2223
60,aesthetocyst,7,"Fuhgawddsakes it's UNO! Played this all though my youth with family, esp. on camping trips. It's a standard, like cribbage. Then I discovered the blatant ripoff MAD: The Card Game, also at a young age ...",2223
61,aetwitch,2,It's about on the same level as watching paint dry.,2223
62,AfarOca,5,JUGADORES: 4-6 TIEMPO: 30  PARTIDAS GANADAS/PERDIDAS Rafa Pequeño 2/0 XAXO12 1/3 Oca 1/4 Virgy 1/4 Mama Virgy 0/1 Titi Rafa 0/2 Paqui 0/2 Mª Angeles 0/4,2223
63,afonsoFGarcia,N/A,UNO Minimalista,2223
64,AFragnoliTroy20,10,Super fun game that is easy to play and is a great introduction to card games.,2223
65,afrey15,4,Alex Romoser Parents It is a variant of the traditional card game Crazy Eights.,2223
66,AfterFourPhoto,N/A,Mini Uno 2006,2223
67,Aftonkatt,2,Family take-that card game,2223
68,Agaetis,6,Great simple family favourite.  Gets played a lot as it is so simple.  Can't really rate it higher as there is not much actual game there but it comes to the table a lot.,2223
69,AgaInGames,8,Classic,2223
70,AGargTroy22,8,The title of the game is UNO. It incorporates chance with strategy very well. The game is easy to follow and fairly simple.,2223
71,Agataka,6,"Classic game, which somehow never gets old",2223
72,Agent Minivann,6,"Decent simple card game.  It can be a lot of fun with some house rules.  I would rate it higher, but I'm burned out.",2223
73,agentjonz,4,2-10 pl. thrifted 11/05,2223
74,AgentMeat,7,THE relaxing brainless Classic,2223
75,AGENT_X,N/A,English Spanish Edition,2223
76,aggiefanatic95,3.25,"Not really any strategy in this game, more just an activity to fill the time",2223
77,agmolrio,N/A,Varias versiones,2223
78,Agricoleros,N/A,10-2,2223
79,agrognard,5,Good for when you have non-gamers and want to play a multi-player game.,2223
80,Agropyron,4,"OK, but there are far better and more interesting fillers.",2223
81,ahorn,6,A good and mean enough card game. Always good when you want to play a game that doesn't challenge too much.,2223
82,ahtitan,8,A classic. 'Nuff said.,2223
83,ahwood23,5,"Haven't played in forever, but I do remember this being better if you add in some house rules.",2223
84,Aicardimom,5,classic. always fun. not one of joel's favorites,2223
85,Aingeru,5.5,OWNED BY: Vanesa,2223
86,Airamand,6.8,Clásico,2223
87,airjudden,4,"Of all the games I play with my children, this is one of the better ones, compared to its peers (Old Maid, Go Fish).  The games can be quick or painfully long, and yeah, it sucks shuffling the deck so that you don't turn over, say 5 reds in a row, but as far as the game play, it's not that bad, so long as you have the right company.",2223
88,airship51,N/A,Stored in Burn in Hell box,2223
89,airwaves07,N/A,2-10 Players. 30 minute playing time.,2223
90,aivislisovskis,2,Is there any choices?,2223
91,ajamking,N/A,"Карточная игра, которая легла в основу Uno, известна с 1930-х годов под разными именами: «мау-мау», «японский дурак», «американский дурак», Crazy Eights. Во всех этих играх участники стремятся как можно быстрее избавиться от карт на руках. Выложить карту с руки можно только если она совпадает с сыгранной перед этим картой по масти или по достоинству. Например, если предыдущий игрок выложил десятку пик, вам следует сыграть либо десятку, либо пику, а если ни того, ни другого на руках нет, придётся взять карту из колоды.  В Uno вместо мастей цвета, есть джокеры, которые можно выкладывать на любую масть и любое достоинство, и специальные карты с особыми свойствами (следующий игрок пропускает ход, направление игры меняется и т. п.). Благодаря простым правилам, нейтральной теме и небольшим размерам Uno стала одной из популярнейших настольных игр в мире, хотя многие предпочитают играть обычными картами. Издано несколько сотен версий Uno самой разной тематики, от диснеевских мультфильмов до бейсбольных команд. В некоторых изданиях появились дополнительные спецкарты: например, в Barbie Uno есть карта «дружба», а в Elvis Uno — «Вегас».",2223
92,Ajax,6,Really simple.  Good to play with kids.  Too bad it can last forever.,2223
93,ajewo,N/A,Classic family card game.  Similar games: * Abluxxen / Linko!,2223
94,ajie426,7,欢乐小游戏，推新很好,2223
95,ajmcblain,5,This game bugs me but it's better than nothing,2223
96,AJSalim,6,LOTS of plays (before 2022),2223
97,AJSGeek,6,"A supremely popular card game the world over. It's not bad at all, just not my favorite. My wife loves it though so we play sometimes.",2223
98,ak3hx993bu,7,2-10 players,2223
99,AKapalaTroy20,7,"Not a bad game if you have 5+ people to play with. Its a relaxed game that relies heavily on luck, but that is more of less the theme of it as you just hope for the best. Either way the many types of cards and how they interact creates a fun environment.",2223
100,akapastorguy,4,"If you MUST play Uno, see if you can talk them into playing My First Uno. It, unlike the parent game, doesn't tend to go on FOREVER.  UPDATE: Thanks to my son, I'm discovering that 3-handed Uno with Mom, Dad & Braeden isn't so bad. It's also a good thing to play by the right rules (draw one when you can't play) rather than the wrong rules (draw until you can play). Sheesh.",2223
101,AkiraNamejin,7,It's Uno,2223
102,akmanolias21,9,"UNO is a great game to play for families and friends. I like all the different cards, and how you have to match a color or number to play, as it is really neat. The game allows players to be very customizable with the rules you can choose to play, and I enjoy that a lot. I rate it a 9/10",2223
103,aknub,N/A,MGB,2223
104,akstevens,7,Always a classic with kids and mixed crowds.,2223
105,AKWA_VQ,6,"I grew up playing this game. Has it's good, but I am bored of it. I bored of it before I hit mid teens.",2223
106,Al3xisss,7,Good,2223
107,Alaena,2,Why would I insult my brain with this? This game is only fun if it's associated with nostalgia.,2223
108,AlanNash,3,Uno was a great game to play while growing up but it pales in comparison to what is in my collection now. It holds a dear place in my heart but I won't be playing it again unless it's all that is available.,2223
109,alanykl,8,"Good party game, if too many people play, 2 deck of UNO cards will be used. So there will be many 4x cards!",2223
110,albatrosski,5,N/A,2223
111,Alberto_Mena,5,Too many games played while camping.,2223
112,alcbkr,6,2 to 10 Players,2223
113,Alcuinus,7,Beloved by the kids.,2223
114,Aldie,4,I'd rather have my teeth drilled.,2223
115,aleabus,N/A,Version anders,2223
116,aleo09,5,"not highly rated for me as a card game, but great to play w/ young kids.  teaches them the ability to match colors, numbers, etc... ",2223
117,Alerosa3,5,Última partida: 2023-07,2223
118,Alessio23,N/A,Versión de playa del chino,2223
119,alethic,3.3,You know - No.,2223
120,Alex the Pretty Good,6,"A classic ""stick it to your opponent"" game.  Don't play with sore losers!",2223
121,alexadae,N/A,2-8 players,2223
122,alexanderbanning,5,FAMILY  A classic card game.  Recommended with 3-8 players (best 4-6). 30 mins.,2223
123,AlexanderVanhulsel,4.5,Should be combined with some alcohol to make this game fun.,2223
124,AlexBerg,10,"Easy to play, I love it",2223
125,AlexBoon,8,One of my favorite games growing up.,2223
126,alexburnsred,4.5,"it's just pure card drawing luck and there's no decision space, that's the main part I don't like. With house rules it can still be fun, so the rating is for those variants.",2223
127,alexd,3.5,Draw 3.,2223
128,alexdrazen,4.8,:cry: :D :) :) :yuk: :yuk: :yuk: :yuk: Kind of in the Skip-Bo category. It's more luck than strategy if everyone plays optimally.,2223
129,AlexGames,7,Nice to be played with a large group. It can be played also with a common deck of bridge cards.,2223
130,alexrios,N/A,10 players (2-10).,2223
131,alexs34,3,I'm looking forward to not playing this again. ,2223
132,alexxmatei,N/A,Official:     2-10 Community: 2-8 Best:       4-6  Time: 30 min  Expansions: N/A,2223
133,Alex_V,N/A,Plays with kids > got LAMA and Disney Villains to upgrade,2223
134,alfonzo54,N/A,Someone bought this for me [-]a decade ago[/-] before I flew off to college and I never played that copy. I don't think I've played it since I was in fourth grade and don't recall anything about it.,2223
135,alfonzos,N/A,Not a fan.,2223
136,Alfred JK,5,De piscina,2223
137,alga,7,【UNO】 大眾的卡牌遊戲 UNO跟撲克牌都是出遊隨身攜帶的好選擇，可以打發時間活躍氣氛的遊戲，規則簡單好懂，節奏快速。這類的卡牌遊戲，功能卡牌的使用時間相當關鍵，也要注意，常常到最後所有手排快要脫手時，忘記喊出「UNO」只好再抽牌。 UNO後期也出了一些變化版本，增加這款遊戲的變化性，目前個人還沒有玩過變化版，希望有機會能嘗試!,2223
138,Algernon88,5,"Classic card-game. It's not something you really need anything else than a normal deck of cards to play but even so, I play it quite often with my wife and that's very fun.",2223
139,AliceYang,7,印象中UNO是小時候常與鄰居們殺時間的經典卡牌遊戲，熟悉規則後能夠快速上手，如何使用策略將手邊卡牌就是我們最大的目標！,2223
140,aliencito,N/A,BGA (FREE),2223
141,Alix,N/A,This is a great game (8) but I just don't like playing it now that I have Zar.,2223
142,alkaiser,5,A variant of Crazy Eights.,2223
143,allthatremains4,7,"A lot of fun with at least 4 persons. Else, it is repetitive ans not so much fun.",2223
144,Almighty Dave,6,"Good fun for eight-year-olds, for people with the emotional maturity of eight-year-olds, and for those whose lack of sleep has given them the cognition of eight-year-olds.",2223
145,AlmondDestroyer,8,"A great game, if you can get enough people.",2223
146,alobunko,2.95,Tried with player counts: 4,2223
147,alomix1994,N/A,Gastspielhaus,2223
148,AlorielLelyn,8,Uno! Haha! Gotcha!,2223
149,AlphaLoR,5,my daughter likes this 1,2223
150,AlphaPsyka,2,"Very boring gameplay. I always end up getting distracted and then forget to say ""Uno""- which just ends up with me hating the game.",2223
151,alpogiannis,7,"Και ποιος δεν έχει περάσει ατελείωτες βραδιές με αυτό το παιχνίδι;  Ιδιαίτερα πριν μπει για τα καλά στον χώρο του επιτραπέζιου… Ακόμα και τώρα είναι ότι πρέπει για μια παρτίδα με τα παιδιά, και μια πρώτης τάξεως δώρο για μικρά παιδιά! Τιμητικό 7αρι για όλα τα παραπάνω.   ",2223
152,Alquerque,7,"Colección de niños. Es un juego de cartas tradicional modernizado para su comercialización en masa, producto perfecto, sólo comparable al rummikub. Después de 20 partidas: Que no sea un diseño muy original y que probablemente su éxito se deba al marketing no quita que no sea un buen juego, los niños se lo pasan en grande, y yo con ellos.",2223
153,Altaica27,5.5,"Playing with following rules can make it quite fun. #1. 7 = When playing this you can choose to switch hands with another player. #2. 0 = Everyone gives his hand to the person next to him, according of play order. #3. +4 can only be played when you cannot follow active colour or upon another +4, rule #5 applies #4. +2 can only be played upon other +2, rule #5 applies #5. Everyone can play the ""exact"" same card on top of the active card on the discard pile anytime he desires. Skipping everyone before him and continuing from that player in the correct order.  By this the game gets quite interactive and you really have to keep track of everything.",2223
154,Alvaroma,6,8,2223
155,alyogali,N/A,No,2223
156,alzsara,8,"The game itself is simplistic and requires little skill BUT I'm always happy to play because it provides so many laughs, especially when you're playing that 2's and 3's accumulate if you can repeat play on them. Especially good because it can be enjoyed by mixed age groups.",2223
157,AM555,N/A,NL editie (modern),2223
158,Amadillno,7,mama,2223
159,AmassGames,5,"Decent enough but too straightforward, doing what the cards present to you  Google AmassGames (2,300+ board game reviews, podcast, 3000+ Instagram posts and more, occasionally time sensitive competitions)",2223
160,ambergen87,N/A,Own on Steam.,2223
161,Ambersilk,7,"Like Uno but also like a house rules variant played in college which was usually played guys vs girls - called ""Slam"" uno... Very crazy when playing with 10-14 people...",2223
162,Ambro11,4,Bali,2223
163,amdpowell5,N/A,Play with Pride version,2223
164,ameberly1,4,"Eli loves to play just 2 person, otherwise would not play again.",2223
165,amg100,6,Lots and lots of fun family memories. Will readily play to augment just hanging around a table and talking,2223
166,Amirabutwo,N/A,Home.,2223
167,Amiral,5,Annoying but unavoidable: there is always a time when you're stuck somewhere and someone has a UNO deck.,2223
168,Amnos0405,9,"Players race to empty their hands and catch opposing players with cards left in theirs, which score points. In turns, players attempt to play a card by matching its color, number, or word to the topmost card on the discard pile. If unable to play, players draw a card from the draw pile, and if still unable to play, they pass their turn. Wild and special cards spice things up a bit.",2223
169,amodman,3,"UNO is quick and painless. The quintessential casual, fast card game whose purpose is little more than to get people interacting. I don't really care for it now, but it did work really well for me growing up. I'd say that it's good for its target demographic (kids).",2223
170,AMSnider22,8,Always fun to play.,2223
171,amstein,6,Very simple and funny game!,2223
172,AmunPtah,8,"Easy, quick and fun!",2223
173,amusedleg,5,The kids love this.  That's enough for me.,2223
174,amwiles,2,"Played the heck out of this as a kid with my sister.  The only reason we still own it is so our son can get a chance to find out what Uno is.  Then he can tell his friends he plays better games than that.  Actually, we still own it so can be introduced to taking turns and such at a young age.  (At time of writing, he's 11 weeks old.)  Okay, so now he's 3-1/2-years-old, and we've introduced it to him. He does very well and often wins. He's great at remembering to say UNO and reminding us that we've forgotten. :)",2223
175,AmyBev,7,"Fun as an early family game, and for getting the Grandparents to join.",2223
176,Amyinhou,N/A,nope,2223
177,Ana92,N/A,1,2223
178,Anabiya,3,"I played it as a kid, but now I prefer more thinky and less luck-based games.",2223
179,Anakin1981,2,One of the most irritating card games ever!,2223
180,anarchy,7,"I like UNO! Simple to play (pretty brainless, so you can devote more mental cycles to smack talk and conversation), and good for non-gamers as well.",2223
181,anazagarus,6,"Uno isn't the type of game I like to play. But it's the best at what it is, random easy fun for kids as young as three, that is unpredictable, and requires the tiniest bit of strategy.  Some of my favorite game playing memories are Uno with my young niece beating me.",2223
182,Andarel,4,Family game!  That's about it.  Anyone know the right rules?,2223
183,ande9249,6,"while I know some are hard on uno for its very simple, luck driven mechanics, I would encourage you to play without the actual ""Uno"" rule. let it be just a random generator game designed to teach numbers/colors to kids and take time. Its not supposed to be any more than what it is.",2223
184,AndiVx,3,Too little decision making to me for even calling it a game. Probably I hate it more than I should just for its popularity. It's mostly luck based.,2223
185,andlord,7,Solid game. It's a classic for a reason,2223
186,Andospowerpro,N/A,i wanna play dis game,2223
187,andr3stay,7,"Muy fácil de aprender, entretenido entre varios jugadores. Al ser tan sencillo llevar años jugándolo lo vuelve menos divertido, pero siempre salva a la hora de jugar con los más chicos de la casa, principalmente.",2223
188,andrecamargo1993,N/A,2-10 players,2223
189,AndreiVi,N/A,Best: 4 Best: 5 Best: 6 2 players 3 players 4 players 5 players 6 players 7 players 8 players 9 players 10 players 30 min,2223
190,AndreKada,5.5,"I don't care what grumpy gamers may say but this is a very silly, funny and fast little game. ",2223
191,AndrePOR,4,Classic (Before 2000),2223
192,Andrew0344,7,"An oldie, but goodie. ",2223
193,andrewrothfuss,7,The classic go to card game that everyone knows and can enjoy,2223
194,Andromeda No Shun,N/A,I don't even like UNO... But it's MONSTER HIGH. I couldn't resist. Impossible.,2223
195,ANDY1313,6,"Cualquier persona puede jugarlo, pero regularmente las partidas pueden prolongarse demasiado.",2223
196,AndyBuck93,3,"uno was a good game before I got more into the hobby, now it is just bleh",2223
197,AndyFi,2,I rather enjoy most card games.  Unfortunately I got forced to play too many games of Uno when my grandmother would visit and I realized that the game is all luck.  There is no skill involved beyond understanding some basic rules. So what's the point of playing?,2223
198,AndyHowell,7,Put me down as an Uno apologist.  My wife and I love to play it.  She brutally kicks my tail almost every time.  When Katrina and Wilma left us without power for a week at a time we played Uno the whole time and had tons of laughs.,2223
199,AndySzy,4.5,I've played so much UNO in my life. It's a game you can play on autopilot and have a conversation with the other people at your table at the same time.,2223
200,Anemelos,3,I never understood why this game is so popular. You can play a similar game with a regular deck of cards. Why buy this?,2223
201,AnetaMiasia,5,instrukcja PL,2223
202,Aneuz,7,"Buen juego que permite la competitividad entre las personas, un juego donde casi siempre acabas peleando contra tus amigos",2223
203,anfdeng,5,没玩出感觉,2223
204,angel712,N/A,"한국어판(코보,2010,thomas & friends)",2223
205,Angela_Garrido,5.5,"Juego rápido de bolsillo, entretenido para jugar con personas que no acostumbran a jugar nada más, siempre salen risas y alguien se pica con las cartas de robo, pero no tiene nada más que dar.",2223
206,angelblue,8,Another game from my childhood. I have a deck that is about 20 years old and very well used.,2223
207,angia93,6,Legendary kid game,2223
208,angigmk,5,10 players,2223
209,angiolillo,1,Always played with traditional cards. Never felt the need to use this version.,2223
210,AngryArcherKing,N/A,10,2223
211,Angurvaki,N/A,g,2223
212,AngusBull,3.5,"Habla espanol?  Is this a favorite of Spainish speaking peoples?  ""I have one card."" There are much better card games than this.  I typically avoid this at all costs and havn't played it in years",2223
213,Animepops,4,It's UNO. If you are on this site I probably don't need to explain it. LOL,2223
214,AnitaDr,6,Simpel en snel,2223
215,AnjuGale,7,"So basically, I have two decks of UNO and made into one big deck. Like that, I have played with 8+ people in family gatherings or parties. Added in some extra 4+ and 2 secret 8+. We use the ""+"" card stacking rule which makes it much more fun and adds a layer of choice. Its is random yet it is fun seeing a chaotic 32+ get passes around a table. The +32 guy will usually have all the ""+"" cards needed to get back into the game. It is great.",2223
216,Ankeltor,7,Good family game,2223
217,AnnC,N/A,"06+, 2-10 players, best with 4-6, 30 mins. Ours from '80s.",2223
218,AnnC,N/A,"06+, 2-10 players, best with 4-6, 30 mins. ",2223
219,AnnC,N/A,"06+, 2-10 players, best with 4-6, 30 mins. ",2223
220,AnnC,N/A,"06+, 2-10 players, best with 4-6, 30 mins.   1998 Mattel ed. Missing green 5 and 7",2223
221,AnnC,N/A,"06+, 2-10 players, best with 4-6, 30 mins. For gift.",2223
222,anneristic,N/A,Classic multiplayer card game. Be sure to always agree upon the rules as people have experiencing playing with all types of family rules.,2223
223,anni3105,N/A,1986,2223
224,anniebeth172,N/A,Card Game Family Game,2223
225,anomalyinflow,3,Card counting is too burdensome to be tactical game.  Game isn't entertaining enough to be party game.  Play LLAMA or Red 7 instead.,2223
226,anotterwhistles,N/A,Emily's favorite childhood game,2223
227,Anthares,6,"Game from my childhood. Very good, very simple. Play it with your child.",2223
228,AnthonyM123,7,Such a classic played this all the time. Can't go wrong with the classic game of UNO.,2223
229,antoinedebruxelles,4,"Poor card game, got a huge succes but once you know better games why play this?",2223
230,anttighost,6,Fun card playing game. You know what I'm talking about after you hit +4 as your second last card and +2 to finish the round;),2223
231,AnttiT,4,"Simple card game. Some fun, but still almost random.",2223
232,anubgs,N/A,Donated by LFG Australia (May 2017),2223
233,anubis_cuk,7,Simple but a good fun family game for 2 to several players.,2223
234,anuskfdz,N/A,PARTY,2223
235,anxi,1.3,Comes without rules.,2223
236,Apathy,5,I think everyone has played this game and I think it's always a fun game to play.,2223
237,apejong,6,KIDSTUFF,2223
238,apodosis,N/A,"Fun from 2 to 6 so far, here. ",2223
239,apokellypse,5,"Easy to teach and learn, and good for passing the time while socializing.",2223
240,Apreche,5,I don't know why I like Uno as much as I do. It's a mindless game of randomness and simple strategy. It is just fun for some random reason.,2223
241,aprile84,N/A,2-10 Players,2223
242,aprilthev,8,Played too many times to keep track. But I still love this game.  I estimate about 10 almost every week (excetp from 2003 - 2008) No joke either.,2223
243,Ap_idk,9,odio a mis amigos. like,2223
244,aqshhr,5, ,2223
245,aquarian,6,I like this (up to a certain point) unlike the majority seems to do!?,2223
246,aquilaprime,5.5,"Uno is a default when no one can agree on a game ... I guess that makes it a form of punishment, right?",2223
247,AQ_5,6,"I love this game, simple and everyone can play it. Perhaps not complex enough for expert gamers but still a great choice for family sessions or while you are out with friends and looking for something light and fun.",2223
248,Araneuz,4,I always willing to play this.........if there is nothing better available!,2223
249,Arantor,6,"What’s to say... it’s UNO. Much improved with the house rule of stacking +4 etc cards, though.",2223
250,Aranzazucepeda,4,desde tiempos inmemorables,2223
251,arcantos333,6,"5+ 1,1",2223
252,ArceePrime,10,"It's a fun card game, perfect for casual gatherings and game night.  It's a true classic, and I've had Uno for several years and still enjoy this game from my childhood.",2223
253,Archaetect,5,fam,2223
254,archaic,5,"Played a lot in childhood. Not something I&#039;m craving for now. Usually played with house rules, since we thought that the original game is too dull.",2223
255,archaiopaichnidi,6,"Small party card game that is a classic, but with frequent past plays and many other options available to play, this game is not often sought out",2223
256,Archvile,3,Boring game without any real choises.,2223
257,Arcionama,7,"Great light party game , usually good for a few rounds with friends chats and a few drinks , house rules can make it longer but usually pretty speedy rounds too , great way to start the game night or end it too :)",2223
258,Arctic Jack,3,Attic Box #1  A game my that holds nostalgic value for my partner. I've only played it once and I was full of cold so wasn't really in the mood. It was a lot more interesting than I had initially thought. I’d always assumed it was a children’s game.,2223
259,Arctocebus,N/A,"UNO/ Phase 10/ Snappy Dressers, Metalldose, Mattel 2016, Artikel FFK01",2223
260,arcweldx,5,Nice introduction to card games for a 5-year old. A pleasant and easy to grasp family game.,2223
261,Aredan1528,6,"One of the few games my wife will play so it's one of our rare true ""family"" games.. It's a simple card game. ",2223
262,Argantonio,5,Pasatiempos ,2223
263,ArgusCat,6,Young'uns like it and it's tolerable by adults. ,2223
264,arguset,5,Depending on the party group it can be more or less funny.,2223
265,Ariadne2774,N/A,", S210",2223
266,Arielekst83,N/A,2-10 beste met 4-6,2223
267,arieshuang,6,Own Harry Potter Edition and original edition.,2223
268,Ariokh,6,Must have with kids,2223
269,ArkhamUK,8,2 players,2223
270,arkonnen7,2,Does this game give me interesting choices? No! Is it a least quick? No! NEVERMORE!,2223
271,Armbar,N/A,UNO puto.,2223
272,armourer84,N/A,I've played long time ago. Poker cards is better.,2223
273,ArmouryBar,N/A,"Donated by our sponsor, Friends and Foes in Amsterdam.",2223
274,Armstrong,5.5,"Basic game is a little dull, but works well with most non-gamers. Fun variant for parties: allow the winner of any given round to add a new house rule. The game quickly becomes exciting!",2223
275,Arnott,8,"Haven't played it in years, but I remember having a blast with this one.  I suspect my rating will drop with future plays.",2223
276,arodier,N/A,2-10 players. 30 Min.,2223
277,aronske417,4,I just find UNO completely uninteresting. Play it more than I'd like because I seem to find myself in situations where it's being played. ,2223
278,ArqMage,7,"It's fast-paced, strategic, and enjoyable by kids through adults.  I don't know why Uno doesn't get more love.  Maybe it's overexposed.  Maybe it's too random.  I think too many non-gamers have gotten into fights over it.",2223
279,ArtbyGinG,6,Classic,2223
280,ArtfulDodger,7,A classic! Great game to teach kids how to play games.,2223
281,artiestroke,7,"If I'm going to end a friendship, at least I'll do it playing a game that's actually fun instead of Monopoly",2223
282,artman_russian,5,100+ партий,2223
283,artsoma,4,I can not believe this game is on the list.,2223
284,Artsymoronic,N/A,"A great classic of course! And remember folks, you only have to draw ONE card if you don't have a playable card.",2223
285,artur271177,6.5,stan na koniec sierpnia 2016: 30 stan na koniec sierpnia 2017: 102 stan na koniec sierpnia 2018: 116,2223
286,aruom,6,gioco di famiglia,2223
287,Arvale,5,"Very simple card game. In Germany this game mechanism is also known as ""MauMau"" (not listed on BGG) which is played with a set of standard Rommee or Skat cards. Uno is a simplified version. Played it because my little nieche like it. In the meantime I could convince her that there are more interesting games than UNO.... ___________________ \_______GER_______/ Es ist eigentlich nicht mehr als Mau-Mau mit Farben. Für ein Spiel mit der kleinen Nichte oder einer Nichtspielerrunde aber gut zu gebrauchen. Mau-Mau kennt halt jeder und durch die farbigen Karten ist UNO dann doch etwas mehr als nur Mau-Mau mit einem Skatblatt. Die extrem Variante mit der Kartenschleudermaschine ist nicht mein Fall aber wenns es dann sein muss und der Gruppenunterhaltung dient dann drücke ich auch tapfer auf den Knopf und lass mir meine Hand mit Karten zuschmeißen ....",2223
288,Arzola,N/A,The version I own is for ants,2223
